detect_id,camera_track_id,frame_id,x,y,w,h
0,1,5510,769.0,221.0,63.0,180.0
1,2,5510,749.0,201.0,46.0,135.0
2,1,5511,768.2,220.2,63.8,182.4
3,2,5511,749.0,201.0,46.0,135.0
4,1,5512,766.51,220.05,65.49,179.79
5,2,5512,749.77,201.0,45.23,133.46
6,1,5513,766.7,219.99,65.3,182.04
7,2,5513,749.24,200.22,46.54,134.51
8,1,5514,766.82,219.98,65.18,184.29
9,2,5514,749.81,199.98,46.96,134.87
10,1,5515,765.44,219.98,66.56,185.02
11,2,5515,749.99,200.64,47.8,134.27
12,1,5516,764.97,220.69,67.03,184.54
13,2,5516,750.75,200.17,47.38,135.47
14,1,5517,764.14,220.25,67.86,185.02
15,2,5517,751.7,200.7,47.21,135.9
16,1,5518,765.89,220.08,66.11,185.17
17,2,5518,752.72,200.22,47.13,136.72
18,1,5519,764.54,220.7,66.78,184.53
19,1,5520,764.72,220.93,65.01,177.53
20,1,5521,762.78,221.01,66.35,173.54
21,1,5522,762.09,221.03,66.84,178.91
22,1,5523,762.51,220.38,66.36,182.19
23,1,5524,762.03,220.13,66.83,182.79
24,1,5525,761.86,221.35,67.0,179.69
25,1,5526,760.5,221.82,68.38,183.18
26,1,5527,761.96,221.33,66.93,185.79
27,1,5528,762.55,221.14,65.68,186.11
28,1,5529,761.45,220.41,66.55,182.26
29,1,5530,758.41,220.79,68.85,176.11
30,1,5531,759.24,219.59,67.75,182.53
31,1,5532,761.58,220.47,64.66,183.55
32,1,5533,759.12,220.81,66.17,180.64
33,1,5559,779.85,204.08,45.1,110.33
34,1,5560,779.36,203.89,45.63,110.36
35,1,5562,778.43,202.74,45.81,112.16
36,1,5563,778.13,203.14,45.99,112.31
37,1,5564,778.03,202.66,46.05,113.01
38,1,5565,777.99,203.21,46.06,109.17
39,1,5566,777.98,202.8,46.06,110.43
40,1,5567,777.98,202.68,45.39,112.22
41,1,5568,777.98,202.66,45.13,113.55
42,1,5569,777.98,202.02,45.03,119.33
43,1,5570,777.98,202.45,44.33,118.88
44,1,5572,777.18,201.99,44.04,118.42
45,1,5576,776.05,202.87,42.22,119.81
46,1,5577,775.25,202.97,41.31,119.98
47,1,5580,772.31,202.19,40.15,121.71
48,1,5581,771.22,202.07,39.32,121.28
49,1,5582,770.18,201.36,39.05,122.45
50,1,5583,769.16,201.1,39.62,124.2
51,1,5584,768.8,201.66,39.84,122.23
52,1,5585,768.7,201.87,39.92,122.78
53,1,5586,768.02,201.3,39.96,125.62
54,1,5587,767.13,200.43,40.64,127.99
55,1,5588,765.5,200.75,41.55,128.88
56,1,5589,764.91,199.57,41.89,131.16
57,1,5590,764.05,198.47,42.02,133.31
58,1,5591,763.1,198.06,42.72,135.41
59,1,5592,762.11,197.26,43.63,137.48
60,1,5593,761.11,197.62,44.62,137.58
61,1,5594,760.1,197.77,45.64,137.58
62,1,5595,758.44,197.83,46.67,138.19
63,1,5596,757.18,197.87,47.7,137.73
64,1,5597,754.79,198.55,49.38,138.18
65,1,5598,753.25,198.81,51.3,135.69
66,1,5599,752.68,198.25,52.02,136.04
67,1,5600,752.5,198.05,52.28,136.15
68,1,5601,753.77,198.63,50.4,136.18
69,1,5602,755.64,198.2,48.32,134.86
70,1,5603,755.04,198.7,48.84,134.34
71,1,5604,754.17,199.55,49.69,132.82
72,1,5605,753.21,199.21,50.66,132.24
73,1,5606,752.86,199.74,51.01,132.03
74,1,5607,752.75,199.28,51.14,131.96
75,1,5608,752.73,199.76,51.17,130.61
76,1,5609,755.37,200.61,48.54,130.11
77,1,5610,757.76,201.59,46.84,129.27
78,1,5611,757.29,201.95,47.56,128.3
79,1,5612,755.13,202.07,49.15,126.62
80,1,5613,759.56,202.77,45.17,125.35
81,1,5614,762.01,203.03,42.9,124.9
82,1,5615,763.55,203.11,41.42,124.75
83,1,5616,764.08,203.13,40.91,124.06
84,1,5617,764.92,203.12,40.08,123.16
85,1,5618,765.2,203.11,39.81,123.51
86,1,5619,765.27,203.1,39.73,123.66
87,1,5620,765.28,203.09,39.73,123.74
88,1,5621,765.26,203.08,39.75,123.78
89,1,5622,765.23,203.07,40.44,124.48
90,1,5623,765.21,203.06,40.71,124.09
91,1,5624,765.18,203.05,40.16,123.29
92,1,5625,765.16,202.38,39.97,124.32
93,1,5626,765.14,202.13,39.9,124.72
94,1,5627,765.12,202.7,39.89,123.55
95,1,5628,764.44,202.91,40.56,123.12
96,1,5629,764.19,202.99,40.15,124.29
97,1,5630,763.42,203.02,40.67,124.07
98,1,5631,761.16,202.36,42.84,127.96
99,1,5632,759.02,201.47,44.3,132.68
100,1,5633,759.49,201.77,42.92,131.87
101,1,5634,756.39,201.9,45.01,132.18
102,1,5635,757.2,203.26,43.18,131.62
103,1,5636,755.57,204.44,43.1,130.72
104,1,5637,755.64,204.22,41.75,130.36
105,1,5638,755.03,204.13,41.9,130.87
106,1,5639,754.16,204.09,42.62,132.38
107,1,5640,752.54,202.76,43.55,135.56
108,1,5641,751.29,201.6,43.9,137.4
109,1,5642,750.18,201.15,44.02,139.39
110,1,5643,747.82,200.99,45.38,140.12
111,1,5644,746.95,201.59,45.24,137.75
112,1,5645,746.0,203.15,43.85,130.19
113,1,5646,745.68,203.74,42.65,129.3
114,1,5647,744.26,203.96,42.2,128.32
115,1,5648,743.11,204.03,42.03,128.64
116,1,5649,740.72,204.06,43.3,130.1
117,1,5650,739.2,204.06,43.78,130.65
118,1,5651,737.35,204.06,44.61,132.19
119,1,5652,736.69,203.39,44.27,135.4
120,1,5653,735.83,202.49,44.13,138.57
121,1,5654,734.89,202.79,44.08,137.16
122,1,5655,734.58,202.91,44.05,137.24
123,1,5656,735.16,202.96,42.72,135.27
124,1,5657,735.44,202.98,42.21,132.52
125,1,5658,735.57,203.65,41.36,129.48
126,1,5659,734.98,203.24,41.05,129.69
127,1,5660,734.12,203.75,40.94,126.46
128,1,5661,733.15,203.94,40.91,123.24
129,1,5662,732.82,204.68,40.24,119.4
130,1,5663,732.72,204.95,40.0,117.35
131,3,7229,733.0,206.0,43.0,129.0
132,3,7230,733.8,205.2,43.8,133.8
133,3,7231,735.49,205.05,42.42,133.95
134,3,7233,737.87,205.88,41.98,130.45
135,3,7234,736.69,205.28,44.97,130.6
136,3,7239,740.92,207.77,43.18,120.57
137,3,7240,741.93,207.97,42.25,119.85
138,3,7241,742.25,208.03,42.64,117.56
139,3,7243,740.77,207.93,45.23,115.27
140,3,7244,741.02,207.83,45.2,117.1
141,3,7245,741.77,207.81,44.51,117.07
142,3,7246,742.7,207.81,44.24,117.06
143,3,7247,743.03,207.16,44.13,119.04
144,3,7248,743.15,206.93,44.08,119.78
145,3,7249,743.17,206.86,44.06,120.05
146,3,7250,743.83,207.5,43.39,122.11
147,3,7251,744.06,207.1,43.79,124.85
148,3,7252,744.14,207.61,43.94,124.56
149,3,7253,743.5,207.16,44.66,123.76
150,3,7254,743.24,207.65,44.27,120.8
151,3,7255,743.14,207.85,44.78,120.31
152,3,7256,743.09,207.26,44.97,120.79
153,3,7257,742.41,207.04,45.69,120.31
154,3,7258,742.15,206.97,45.96,121.44
155,3,7259,742.05,206.94,45.4,123.19
156,3,7260,742.01,207.59,45.18,119.9
157,3,7261,742.0,207.85,45.09,119.28
158,3,7262,741.33,207.95,45.71,117.73
159,3,7263,741.08,207.98,45.29,116.49
160,3,7265,740.98,207.17,45.08,116.81
161,3,7267,740.97,207.73,44.22,116.19
162,3,7268,740.97,207.88,44.04,115.36
163,3,7270,738.61,207.92,45.55,115.83
164,3,7275,737.02,207.04,45.98,123.31
165,3,7276,736.23,206.3,46.69,128.03
166,3,7277,736.63,206.04,46.27,130.98
167,3,7278,736.13,205.3,46.76,130.78
168,3,7279,735.29,205.02,47.61,131.96
169,3,7280,734.33,204.27,48.58,134.98
170,3,7281,734.63,203.99,48.29,136.75
171,3,7282,734.76,203.89,48.17,134.78
172,3,7283,734.82,204.53,48.11,133.3
173,3,7284,734.85,204.78,48.75,132.7
174,3,7285,735.53,204.88,48.32,135.09
175,3,7286,736.46,204.92,47.49,137.27
176,3,7287,736.82,204.94,47.84,138.08
177,3,7288,736.95,204.29,47.97,142.94
178,3,7289,737.0,204.05,48.01,143.45
179,3,7290,737.67,203.97,48.03,142.94
180,3,7291,737.93,203.94,48.69,144.01
181,3,7292,738.02,203.93,48.94,144.38
182,3,7293,738.71,204.59,49.03,143.82
183,3,7294,738.96,204.85,49.05,142.91
184,3,7295,739.05,204.29,49.72,143.2
185,3,7296,739.08,204.07,50.62,143.94
186,3,7297,740.39,204.65,50.3,142.22
187,3,7298,741.55,204.88,50.83,142.2
188,3,7299,742.63,204.96,51.02,142.84
189,3,7300,743.03,205.0,51.09,141.75
190,3,7301,743.82,203.68,51.1,142.65
191,3,7302,744.1,203.19,52.42,146.27
192,3,7303,744.85,203.01,52.9,148.28
193,3,7304,745.77,203.6,53.08,147.07
194,3,7305,747.42,203.83,52.48,147.22
195,3,7306,749.34,203.93,52.24,147.92
196,3,7307,750.7,204.62,52.14,147.51
197,3,7308,751.85,204.88,51.43,146.67
198,3,7309,752.91,204.98,51.83,145.67
199,3,7310,753.93,204.36,51.97,145.95
200,3,7311,754.95,204.12,51.36,146.04
201,3,7312,755.96,204.03,51.13,145.41
202,3,7313,756.3,203.33,51.04,145.83
203,3,7314,756.39,203.74,51.67,147.3
204,3,7315,757.06,203.89,51.9,147.85
205,3,7316,758.6,203.95,50.67,147.39
206,3,7317,759.15,203.98,50.2,146.55
207,3,7318,759.33,203.99,50.03,145.56
208,3,7319,760.02,203.99,49.3,143.86
209,3,7320,760.92,203.99,48.37,142.55
210,3,7321,761.89,203.99,47.36,141.41
211,3,7322,762.22,203.99,47.0,139.0
212,3,7323,762.32,204.0,46.88,139.45
213,3,7324,762.99,204.0,46.85,139.64
214,3,7325,763.22,204.0,46.85,139.73
215,3,7326,762.61,203.33,47.53,140.44
216,3,7327,762.37,203.75,47.13,140.73
217,3,7328,761.59,203.91,47.65,143.49
218,3,7329,760.63,203.97,48.5,144.53
219,3,7330,760.91,203.99,48.17,145.57
220,3,7331,760.36,204.0,48.05,145.31
221,3,7332,760.14,204.0,48.0,144.53
222,3,7333,759.4,204.0,48.65,144.23
223,3,7334,759.12,204.0,48.89,144.11
224,3,7335,758.36,203.34,48.98,144.72
225,3,7336,758.07,203.09,49.01,144.29
226,3,7337,756.65,203.0,49.68,145.45
227,3,7338,756.12,202.97,49.93,145.22
228,3,7339,755.27,203.62,50.68,144.46
229,3,7340,754.96,203.87,50.3,143.51
230,3,7341,754.2,203.97,50.15,143.15
231,3,7342,753.93,204.66,48.77,142.36
232,3,7343,752.51,204.26,49.57,144.71
233,3,7344,751.34,203.45,49.21,146.91
234,3,7345,750.92,203.79,48.41,147.74
235,3,7346,750.78,203.93,48.11,147.39
236,3,7347,749.42,203.32,48.66,149.22
237,3,7348,748.94,203.75,48.21,147.93
238,3,7349,748.78,205.23,48.04,144.77
239,3,7350,748.08,205.13,47.98,141.57
240,3,7351,746.51,205.09,49.29,141.05
241,3,7352,745.29,205.07,49.78,136.88
242,3,7353,742.22,204.38,51.93,133.99
243,3,7354,743.02,203.45,51.45,139.01
244,3,7355,743.39,202.46,51.24,142.82
245,3,7356,742.9,203.39,50.49,140.36
246,3,7357,743.4,202.44,50.2,144.05
247,3,7358,743.62,202.74,50.75,146.07
248,3,7359,743.71,202.87,50.95,146.83
249,3,7360,744.42,202.26,53.66,149.08
250,3,7361,745.99,202.69,54.02,149.91
251,3,7362,746.62,204.17,51.54,147.58
252,3,7363,747.54,204.74,49.88,147.98
253,3,7364,747.21,204.95,47.25,140.22
254,3,7365,748.44,205.03,45.6,141.26
255,3,7366,748.88,205.71,45.7,140.98
256,3,7367,749.7,205.3,45.09,142.21
257,3,7368,750.0,205.8,46.22,142.68
258,3,7369,750.76,205.99,45.98,142.21
259,3,7370,751.04,206.05,46.57,144.68
260,3,7371,752.45,205.41,46.8,146.92
261,3,7372,753.63,205.17,46.23,147.76
262,3,7373,756.05,204.41,45.36,148.07
263,3,7374,757.6,204.78,44.37,147.51
