camera_id,detect_id,global_object_id
3,1,1002
3,2,1007
3,3,1006
3,4,1002
3,5,1005
3,7,1002
3,6,1007
3,8,1002
3,9,1001
3,10,1001
3,11,1002
3,12,1003
3,13,1002
3,14,1001
3,15,1004
3,17,1007
3,20,1003
3,21,1006
3,23,1007
3,22,1003
3,24,1001
3,25,1002
3,26,1001
3,27,1004
3,30,1002
3,29,1006
3,32,1001
3,31,1003
3,34,1005
3,37,1005
3,40,1001
3,42,1005
3,44,1005
3,43,1001
3,45,1005
3,46,1002
3,47,1004
3,48,1001
3,49,1001
3,50,1001
3,51,1006
3,56,1006
3,58,1002
3,59,1003
3,60,1007
3,61,1003
3,62,1007
3,63,1001
3,66,1004
3,67,1002
3,68,1007
3,70,1003
3,69,1006
3,71,1002
3,72,1001
3,73,1003
3,74,1002
3,75,1007
3,76,1001
3,77,1001
3,78,1003
3,79,1004
3,80,1007
3,81,1004
3,82,1001
3,84,1007
3,85,1004
3,86,1006
3,87,1006
3,90,1003
3,91,1001
3,92,1007
3,95,1003
3,98,1006
3,99,1007
3,97,1001
3,101,1001
3,102,1004
3,103,1004
3,104,1004
3,105,1001
3,106,1004
3,110,1004
3,111,1004
3,113,1003
3,114,1004
3,115,1006
3,116,1004
3,117,1006
3,118,1001
3,120,1004
3,121,1004
3,123,1002
3,124,1004
3,127,1004
3,128,1005
3,129,1002
3,134,1001
3,135,1005
3,136,1005
3,137,1006
3,138,1007
3,143,1007
3,144,1006
3,145,1004
3,146,1004
3,149,1004
3,150,1001
3,151,1001
3,153,1001
3,155,1001
3,156,1001
3,157,1006
3,160,1001
3,161,1003
3,165,1006
3,166,1002
3,163,1004
3,167,1003
3,171,1007
3,172,1003
3,176,1004
3,177,1007
3,179,1004
3,180,1006
3,181,1001
3,182,1001
3,183,1007
3,184,1001
3,187,1001
3,191,1001
3,190,1004
3,192,1001
3,194,1002
3,197,1007
3,200,1001
3,201,1002
3,202,1003
3,203,1007
3,204,1007
3,208,1004
3,209,1007
3,213,1001
3,215,1004
3,216,1006
3,217,1003
3,130,-1
3,131,-1
3,132,-1
3,133,-1
3,139,-1
3,140,-1
3,141,-1
3,142,-1
3,16,-1
3,18,-1
3,19,-1
3,147,-1
3,148,-1
3,152,-1
3,154,-1
3,28,-1
3,158,-1
3,159,-1
3,33,-1
3,162,-1
3,35,-1
3,36,-1
3,164,-1
3,38,-1
3,39,-1
3,168,-1
3,41,-1
3,169,-1
3,170,-1
3,173,-1
3,174,-1
3,175,-1
3,178,-1
3,52,-1
3,53,-1
3,54,-1
3,55,-1
3,57,-1
3,185,-1
3,186,-1
3,188,-1
3,189,-1
3,64,-1
3,65,-1
3,193,-1
3,195,-1
3,196,-1
3,198,-1
3,199,-1
3,205,-1
3,206,-1
3,207,-1
3,210,-1
3,83,-1
3,211,-1
3,212,-1
3,214,-1
3,88,-1
3,89,-1
3,218,-1
3,93,-1
3,94,-1
3,96,-1
3,100,-1
3,107,-1
3,108,-1
3,109,-1
3,112,-1
3,119,-1
3,122,-1
3,125,-1
3,126,-1
4,1,1001
4,2,1005
4,5,1007
4,6,1004
4,7,1006
4,8,1007
4,9,1003
4,10,1006
4,11,1006
4,12,1006
4,13,1005
4,14,1001
4,16,1005
4,18,1006
4,20,1002
4,21,1005
4,22,1001
4,23,1002
4,24,1005
4,26,1001
4,27,1004
4,30,1003
4,31,1007
4,33,1004
4,34,1004
4,35,1006
4,36,1007
4,40,1002
4,41,1003
4,44,1001
4,45,1004
4,46,1004
4,47,1007
4,49,1004
4,51,1007
4,53,1005
4,54,1005
4,55,1004
4,56,1005
4,57,1005
4,58,1004
4,59,1006
4,60,1004
4,61,1006
4,62,1004
4,63,1006
4,64,1005
4,65,1006
4,68,1004
4,69,1004
4,70,1004
4,71,1004
4,72,1004
4,73,1005
4,74,1003
4,75,1005
4,78,1007
4,79,1006
4,81,1004
4,82,1004
4,83,1004
4,84,1005
4,85,1005
4,86,1004
4,87,1005
4,88,1001
4,89,1006
4,90,1004
4,91,1007
4,92,1006
4,93,1003
4,94,1003
4,95,1004
4,96,1003
4,97,1007
4,98,1004
4,99,1004
4,100,1006
4,101,1006
4,103,1006
4,106,1007
4,107,1006
4,108,1006
4,109,1003
4,110,1006
4,111,1006
4,112,1005
4,113,1002
4,114,1002
4,115,1003
4,116,1007
4,117,1004
4,3,-1
4,4,-1
4,15,-1
4,17,-1
4,19,-1
4,25,-1
4,28,-1
4,29,-1
4,32,-1
4,37,-1
4,38,-1
4,39,-1
4,42,-1
4,43,-1
4,48,-1
4,50,-1
4,52,-1
4,66,-1
4,67,-1
4,76,-1
4,77,-1
4,80,-1
4,102,-1
4,104,-1
4,105,-1
4,118,-1
4,119,-1
4,120,-1
