detect_id,frame_id,camera_track_id,x,y,w,h
0,1,1,0,404,127,102
1,1,2,514,223,139,80
2,1,3,307,285,220,111
3,1,4,847,314,159,86
4,1,5,706,127,86,44
5,1,6,797,114,83,38
6,1,7,94,146,67,56
7,1,8,65,124,53,47
8,1,9,992,101,50,26
9,1,10,869,105,79,34
10,1,11,0,144,36,38
11,1,12,49,110,42,39
12,2,1,0,404,127,102
13,2,2,496,215,134,78
14,2,3,281,280,214,108
15,2,4,830,307,157,82
16,2,5,706,127,86,44
17,2,6,797,114,83,38
18,2,7,94,146,67,56
19,2,8,65,124,53,47
20,2,9,989,101,52,26
21,2,10,870,105,79,34
22,2,11,0,145,37,40
23,2,12,49,110,42,39
24,2,13,1199,463,75,123
25,3,1,0,404,127,102
26,3,2,478,207,129,75
27,3,3,251,276,213,104
28,3,4,813,300,154,80
29,3,5,706,127,86,44
30,3,6,797,114,83,38
31,3,7,94,146,67,56
32,3,8,65,124,53,47
33,3,9,987,101,52,26
34,3,10,870,105,79,34
35,3,11,0,146,38,41
36,3,12,49,110,42,39
37,3,13,1176,452,104,132
38,4,1,0,404,127,102
39,4,2,460,198,124,73
40,4,3,217,274,214,101
41,4,4,796,293,152,77
42,4,5,706,127,86,44
43,4,6,797,114,83,38
44,4,7,94,146,67,56
45,4,8,65,124,53,47
46,4,9,984,101,52,26
47,4,10,870,105,79,34
48,4,11,0,147,39,43
49,4,12,49,110,41,39
50,4,13,1152,441,128,134
51,4,14,0,82,31,26
52,4,15,1241,577,39,118
53,5,1,0,404,127,102
54,5,2,443,190,119,71
55,5,3,183,272,217,98
56,5,4,779,286,150,75
57,5,5,706,127,86,44
58,5,6,797,114,83,38
59,5,7,94,146,68,56
60,5,8,65,124,53,47
61,5,9,982,102,52,26
62,5,10,870,105,79,34
63,5,11,0,149,39,44
64,5,12,49,110,41,39
65,5,13,1129,430,151,132
66,5,14,0,82,32,26
67,5,15,1222,568,52,122
68,6,1,0,404,126,102
69,6,2,427,181,114,68
70,6,3,149,271,219,95
71,6,4,762,279,147,73
72,6,5,706,127,86,44
73,6,6,797,114,83,38
74,6,7,93,146,68,56
75,6,8,65,124,53,47
76,6,9,979,102,52,26
77,6,10,870,105,79,34
78,6,11,0,151,39,45
79,6,12,49,110,41,38
80,6,13,1105,419,171,129
81,6,14,0,83,33,26
82,6,15,1202,558,72,128
83,7,1,0,404,126,102
84,7,2,412,174,110,66
85,7,3,116,270,219,93
86,7,4,746,273,145,71
87,7,5,706,127,86,44
88,7,6,797,114,83,38
89,7,7,93,146,68,56
90,7,8,65,124,53,47
91,7,9,976,102,53,26
92,7,10,870,105,78,34
93,7,11,0,153,38,46
94,7,12,49,110,41,39
95,7,13,1082,407,183,124
96,7,14,0,83,35,27
97,7,15,1181,547,97,134
98,8,1,0,404,126,102
99,8,2,397,166,106,64
100,8,3,86,270,217,91
101,8,4,730,266,142,69
102,8,5,706,127,86,44
103,8,6,797,114,83,38
104,8,7,93,146,68,56
105,8,8,65,124,53,47
106,8,9,974,102,52,27
107,8,10,870,105,78,34
108,8,11,0,155,38,46
109,8,12,50,110,41,39
110,8,13,1058,396,190,120
111,8,14,0,83,35,27
112,8,15,1160,536,120,139
113,9,1,0,404,126,102
114,9,2,383,159,102,61
115,9,3,60,269,212,89
116,9,4,714,259,140,68
117,9,5,706,127,86,44
118,9,6,797,114,83,38
119,9,7,93,146,68,56
120,9,8,65,124,53,48
121,9,9,973,102,52,27
122,9,10,870,105,78,34
123,9,11,0,157,38,47
124,9,12,50,110,41,39
