camera_id,detect_id,object_id
41,3,0
41,5,2
41,11,3
41,17,0
41,19,2
41,25,3
41,31,0
41,33,2
41,39,3
41,45,0
41,47,2
41,53,3
41,59,0
41,61,2
41,67,3
41,73,0
41,75,2
41,81,3
41,87,0
41,89,2
41,95,3
41,101,0
41,103,2
41,109,3
41,115,0
41,117,2
41,123,3
41,131,0
41,133,2
41,139,3
41,147,0
41,149,2
41,155,3
41,160,8
41,164,0
41,166,2
41,172,3
41,177,8
41,181,0
41,183,2
41,189,3
41,194,8
41,198,0
41,200,2
41,206,3
41,211,8
41,215,0
41,217,2
41,223,3
41,228,8
41,232,0
41,234,2
41,240,3
41,245,8
41,249,0
41,251,2
41,257,3
41,262,8
41,266,0
41,273,3
41,278,8
41,282,0
41,289,3
41,294,8
41,298,0
41,305,3
41,310,8
41,314,0
41,321,3
41,326,8
41,330,0
41,337,3
41,342,8
41,346,0
41,353,3
41,358,8
41,362,0
41,369,3
41,374,8
41,378,0
41,385,3
41,390,8
41,391,9
41,395,0
41,402,3
41,407,8
41,408,9
41,412,0
41,419,3
41,424,8
41,425,9
41,429,0
41,436,3
41,441,8
41,442,9
41,446,0
41,453,3
41,458,8
41,459,9
41,463,0
41,470,3
41,475,8
41,476,9
41,480,0
41,487,3
41,492,8
41,493,9
41,497,0
41,504,3
41,509,8
41,510,9
41,514,0
41,521,3
41,526,8
41,527,9
41,531,0
41,538,3
41,543,8
41,544,9
41,548,0
41,555,3
41,560,8
41,561,9
41,565,0
41,572,3
41,577,8
41,578,9
41,582,0
41,589,3
41,594,8
41,595,9
41,600,0
41,607,3
41,612,8
41,613,9
41,618,0
41,625,3
41,630,8
41,631,9
41,636,0
41,643,3
41,648,8
41,649,9
41,654,0
41,661,3
41,666,8
41,667,9
41,671,0
41,678,3
41,683,8
41,684,9
41,688,0
41,694,3
41,699,8
41,700,9
41,704,0
41,710,3
41,715,8
41,716,9
41,720,0
41,726,3
41,731,8
41,732,9
41,736,0
41,742,3
41,747,8
41,748,9
41,752,0
41,758,3
41,763,8
41,764,9
41,768,0
41,774,3
41,779,8
41,780,9
41,784,0
41,790,3
41,795,8
41,796,9
41,800,0
41,806,3
41,811,8
41,812,9
41,816,0
41,822,3
41,827,8
41,828,9
41,832,0
41,838,3
41,843,8
41,844,9
41,849,0
41,855,3
41,860,8
41,861,9
41,866,0
41,872,3
41,877,8
41,878,9
41,883,0
41,889,3
41,894,8
41,895,9
41,900,0
41,906,3
41,911,8
41,912,9
41,917,0
41,923,3
41,928,8
41,929,9
41,934,0
41,940,3
41,945,8
41,946,9
41,955,3
41,960,8
41,961,9
41,970,3
41,975,8
41,976,9
41,985,3
41,990,8
41,991,9
41,1000,3
41,1005,8
41,1006,9
41,1016,3
41,1021,8
41,1022,9
41,1032,3
41,1037,8
41,1038,9
41,1049,3
41,1054,8
41,1055,9
41,1066,3
41,1071,8
41,1072,9
41,1083,3
41,1088,8
41,1089,9
41,1100,3
41,1105,8
41,1106,9
41,1117,3
41,1122,8
41,1123,9
41,1134,3
41,1139,8
41,1140,9
41,1151,3
41,1156,8
41,1157,9
41,1168,3
41,1172,8
41,1173,9
41,1184,3
41,1188,8
41,1189,9
41,1199,3
41,1203,8
41,1204,9
41,1214,3
41,1218,8
41,1219,9
41,1229,3
41,1233,8
41,1234,9
41,1244,3
41,1248,8
41,1249,9
41,1260,3
41,1264,8
41,1265,9
41,1276,3
41,1280,8
41,1281,9
41,1292,3
41,1296,8
41,1297,9
41,1308,3
41,1312,8
41,1313,9
41,1325,3
41,1329,8
41,1330,9
41,1342,3
41,1346,8
41,1347,9
41,1359,3
41,1363,8
41,1364,9
41,1378,3
41,1382,8
41,1383,9
41,1397,3
41,1401,8
41,1402,9
41,1416,3
41,1420,8
41,1421,9
41,1435,3
41,1439,8
41,1440,9
41,1454,3
41,1458,8
41,1459,9
41,1473,3
41,1477,8
41,1478,9
41,1492,3
41,1496,8
41,1497,9
41,1511,3
41,1515,8
41,1516,9
41,1530,3
41,1534,8
41,1535,9
41,1549,3
41,1553,8
41,1554,9
41,1568,3
41,1572,8
41,1573,9
41,1587,3
41,1591,8
41,1592,9
41,1606,3
41,1610,8
41,1611,9
41,1625,3
41,1629,8
41,1630,9
41,1644,3
41,1648,8
41,1649,9
41,1663,3
41,1667,8
41,1668,9
41,1681,3
41,1685,8
41,1686,9
41,1699,3
41,1703,8
41,1704,9
41,1717,3
41,1721,8
41,1722,9
41,1735,3
41,1739,8
41,1740,9
41,1753,3
41,1757,8
41,1758,9
41,1771,3
41,1775,8
41,1776,9
41,1789,3
41,1793,8
41,1794,9
41,1807,3
41,1811,8
41,1812,9
41,1825,3
41,1829,8
41,1830,9
41,1843,3
41,1847,8
41,1848,9
41,1862,3
41,1866,8
41,1867,9
41,1881,3
41,1885,8
41,1886,9
41,1900,3
41,1904,8
41,1905,9
41,1919,3
41,1923,8
41,1924,9
41,1938,3
41,1942,8
41,1943,9
41,1960,8
41,1961,9
41,1978,8
41,1979,9
41,1996,8
41,1997,9
41,2014,8
41,2015,9
41,2032,8
41,2033,9
41,2050,8
41,2051,9
41,2067,8
41,2068,9
41,2084,8
41,2085,9
41,2101,8
41,2102,9
41,2118,8
41,2119,9
41,2136,8
41,2137,9
41,2154,8
41,2155,9
41,2172,8
41,2173,9
41,2190,8
41,2191,9
41,2208,8
41,2209,9
41,2226,8
41,2227,9
41,2245,8
41,2246,9
41,2264,8
41,2265,9
41,2283,8
41,2284,9
41,2302,8
41,2303,9
41,2321,8
41,2322,9
41,2339,8
41,2340,9
41,2349,13
41,2358,8
41,2359,9
41,2368,13
41,2377,8
41,2378,9
41,2387,13
41,2396,8
41,2397,9
41,2406,13
41,2415,8
41,2416,9
41,2425,13
41,2434,8
41,2435,9
41,2444,13
41,2453,8
41,2454,9
