camera_id,detect_id,object_id
41,3,0
41,4,1
41,5,2
41,11,3
41,12,4
41,13,5
41,17,0
41,18,1
41,19,2
41,25,3
41,26,4
41,27,5
41,31,0
41,32,1
41,33,2
41,39,3
41,40,4
41,41,5
41,45,0
41,46,1
41,47,2
41,53,3
41,54,4
41,55,5
41,59,0
41,60,1
41,61,2
41,67,3
41,68,4
41,69,5
41,73,0
41,74,1
41,75,2
41,81,3
41,82,4
41,83,5
41,87,0
41,88,1
41,89,2
41,95,3
41,96,4
41,97,5
41,101,0
41,102,1
41,103,2
41,109,3
41,110,4
41,111,5
41,115,0
41,116,1
41,117,2
41,123,3
41,124,4
41,125,5
41,126,6
41,127,7
41,131,0
41,132,1
41,133,2
41,139,3
41,140,4
41,141,5
41,142,6
41,143,7
41,147,0
41,148,1
41,149,2
41,155,3
41,156,4
41,157,5
41,158,6
41,159,7
41,160,8
41,164,0
41,165,1
41,166,2
41,172,3
41,173,4
41,174,5
41,175,6
41,176,7
41,177,8
41,181,0
41,182,1
41,183,2
41,189,3
41,190,4
41,191,5
41,192,6
41,193,7
41,194,8
41,198,0
41,199,1
41,200,2
41,206,3
41,207,4
41,208,5
41,209,6
41,210,7
41,211,8
41,215,0
41,216,1
41,217,2
41,223,3
41,224,4
41,225,5
41,226,6
41,227,7
41,228,8
41,232,0
41,233,1
41,234,2
41,240,3
41,241,4
41,242,5
41,243,6
41,244,7
41,245,8
41,249,0
41,250,1
41,251,2
41,257,3
41,258,4
41,259,5
41,260,6
41,261,7
41,262,8
41,266,0
41,267,1
41,273,3
41,274,4
41,275,5
41,276,6
41,277,7
41,278,8
41,282,0
41,283,1
41,289,3
41,290,4
41,291,5
41,292,6
41,293,7
41,294,8
41,298,0
41,299,1
41,305,3
41,306,4
41,307,5
41,308,6
41,309,7
41,310,8
41,314,0
41,315,1
41,321,3
41,322,4
41,323,5
41,324,6
41,325,7
41,326,8
41,330,0
41,331,1
41,337,3
41,338,4
41,339,5
41,340,6
41,341,7
41,342,8
41,346,0
41,347,1
41,353,3
41,354,4
41,355,5
41,356,6
41,357,7
41,358,8
41,362,0
41,363,1
41,369,3
41,370,4
41,371,5
41,372,6
41,373,7
41,374,8
41,378,0
41,379,1
41,385,3
41,386,4
41,387,5
41,388,6
41,389,7
41,390,8
41,391,9
41,395,0
41,396,1
41,402,3
41,403,4
41,404,5
41,405,6
41,406,7
41,407,8
41,408,9
41,412,0
41,413,1
41,419,3
41,420,4
41,421,5
41,422,6
41,423,7
41,424,8
41,425,9
41,429,0
41,430,1
41,436,3
41,437,4
41,438,5
41,439,6
41,440,7
41,441,8
41,442,9
41,446,0
41,447,1
41,453,3
41,454,4
41,455,5
41,456,6
41,457,7
41,458,8
41,459,9
41,463,0
41,464,1
41,470,3
41,471,4
41,472,5
41,473,6
41,474,7
41,475,8
41,476,9
41,480,0
41,481,1
41,487,3
41,488,4
41,489,5
41,490,6
41,491,7
41,492,8
41,493,9
41,497,0
41,498,1
41,504,3
41,505,4
41,506,5
41,507,6
41,508,7
41,509,8
41,510,9
41,514,0
41,515,1
41,521,3
41,522,4
41,523,5
41,524,6
41,525,7
41,526,8
41,527,9
41,531,0
41,532,1
41,538,3
41,539,4
41,540,5
41,541,6
41,542,7
41,543,8
41,544,9
41,548,0
41,549,1
41,555,3
41,556,4
41,557,5
41,558,6
41,559,7
41,560,8
41,561,9
41,565,0
41,566,1
41,572,3
41,573,4
41,574,5
41,575,6
41,576,7
41,577,8
41,578,9
41,582,0
41,583,1
41,589,3
41,590,4
41,591,5
41,592,6
41,593,7
41,594,8
41,595,9
41,596,10
41,600,0
41,601,1
41,607,3
41,608,4
41,609,5
41,610,6
41,611,7
41,612,8
41,613,9
41,614,10
41,618,0
41,619,1
41,625,3
41,626,4
41,627,5
41,628,6
41,629,7
41,630,8
41,631,9
41,632,10
41,636,0
41,637,1
41,643,3
41,644,4
41,645,5
41,646,6
41,647,7
41,648,8
41,649,9
41,650,10
41,654,0
41,655,1
41,661,3
41,662,4
41,663,5
41,664,6
41,665,7
41,666,8
41,667,9
41,668,10
41,671,0
41,672,1
41,678,3
41,679,4
41,680,5
41,681,6
41,682,7
41,683,8
41,684,9
41,685,10
41,688,0
41,689,1
41,694,3
41,695,4
41,696,5
41,697,6
41,698,7
41,699,8
41,700,9
41,701,10
41,704,0
41,705,1
