,0,1
0,4,15679
1,4,15698
2,4,15717
3,4,15736
4,4,15791
5,4,15808
6,4,15825
7,4,15859
8,4,15875
9,4,15939
10,11,4201
11,11,4213
12,18,15679
13,18,15698
14,18,15717
15,18,15736
16,18,15791
17,18,15808
18,18,15825
19,18,15859
20,18,15875
21,18,15891
22,18,15939
23,25,4081
24,25,4201
25,25,4213
26,25,5556
27,25,5571
28,25,5586
29,25,5601
30,25,5616
31,25,5631
32,25,5646
33,25,24266
34,32,15679
35,32,15698
36,32,15717
37,32,15736
38,32,15791
39,32,15808
40,32,15825
41,32,15859
42,32,15875
43,32,15891
44,32,15939
45,39,4081
46,39,4201
47,39,4213
48,39,5556
49,39,5571
50,39,5586
51,39,5601
52,39,5616
53,39,5631
54,39,5646
55,39,24146
56,39,24266
57,46,15679
58,46,15698
59,46,15717
60,46,15736
61,46,15791
62,46,15808
63,46,15825
64,46,15859
65,46,15875
66,46,15891
67,53,4081
68,53,4201
69,53,4213
70,53,4225
71,53,5541
72,53,5556
73,53,5571
74,53,5586
75,53,5601
76,53,5616
77,53,5631
78,53,5646
79,53,5661
80,53,24146
81,53,24266
82,60,15679
83,60,15698
84,60,15717
85,60,15736
86,60,15791
87,60,15808
88,60,15825
89,60,15859
90,60,15875
91,67,4081
92,67,4117
93,67,4129
94,67,4165
95,67,4189
96,67,4201
97,67,4213
98,67,4225
99,67,5541
100,67,5556
101,67,5571
102,67,5586
103,67,5601
104,67,5616
105,67,5631
106,67,5646
107,67,5661
108,67,5676
109,67,23946
110,67,24146
111,67,24266
112,74,15679
113,74,15698
114,74,15717
115,74,15736
116,74,15791
117,74,15808
118,74,15825
119,74,15859
120,74,15875
121,74,15891
122,81,4081
123,81,4117
124,81,4189
125,81,4201
126,81,4213
127,81,4225
128,81,5541
129,81,5556
130,81,5571
131,81,5586
132,81,5601
133,81,5616
134,81,5631
135,81,5646
136,81,5661
137,81,5676
138,81,24146
139,81,24266
140,88,15679
141,88,15698
142,88,15717
143,88,15736
144,88,15791
145,88,15808
146,88,15825
147,88,15859
148,88,15875
149,88,15891
150,95,4117
151,95,4201
152,95,4213
153,95,4225
154,95,5541
155,95,5556
156,95,5571
157,95,5586
158,95,5601
159,95,5616
160,95,5631
161,95,5646
162,95,5661
163,95,5676
164,95,24146
165,95,24266
166,102,15679
167,102,15698
168,102,15717
169,102,15736
170,102,15791
171,102,15808
172,102,15825
173,102,15859
174,102,15875
175,102,15891
176,109,4201
177,109,4213
178,109,4225
179,109,5541
180,109,5556
181,109,5571
182,109,5586
183,109,5601
184,109,5616
185,109,5631
186,109,5646
187,109,5661
188,109,5676
189,109,24146
190,109,24266
191,116,15679
192,116,15698
193,116,15717
194,116,15736
195,116,15791
196,116,15808
197,116,15825
198,116,15859
199,116,15875
200,123,4201
201,123,4213
202,123,4225
203,123,5541
204,123,5556
205,123,5571
206,123,5586
207,123,5601
208,123,5616
209,123,5631
210,123,5646
211,123,5661
212,123,5676
213,123,24146
214,123,24266
215,127,15754
216,127,15790
217,127,15807
218,127,15824
219,127,15841
220,127,20313
221,127,20425
222,127,20445
223,127,20613
224,127,20674
225,127,20732
226,127,20770
227,127,20808
228,127,20827
229,127,21013
230,127,21067
231,127,22025
232,132,15679
233,132,15698
234,132,15717
235,132,15736
236,132,15791
237,132,15808
238,132,15825
239,132,15859
240,132,15875
241,132,15891
242,139,4189
243,139,4201
244,139,4213
245,139,4225
246,139,5541
247,139,5556
248,139,5571
249,139,5586
250,139,5601
251,139,5616
252,139,5631
253,139,5646
254,139,5661
255,139,5676
256,139,23946
257,139,24046
258,139,24086
259,139,24146
260,139,24226
261,139,24246
262,139,24266
263,139,24366
264,139,24483
265,139,24930
266,143,15716
267,143,15754
268,143,15773
269,143,15790
270,143,15807
271,143,15824
272,143,15841
273,143,15858
274,143,15874
275,143,15906
276,143,15922
277,143,16061
278,143,16076
279,143,20275
280,143,20313
281,143,20349
282,143,20385
283,143,20405
284,143,20425
285,143,20445
286,143,20466
287,143,20487
288,143,20529
289,143,20592
290,143,20613
291,143,20634
292,143,20654
293,143,20674
294,143,20713
295,143,20732
296,143,20751
297,143,20770
298,143,20789
299,143,20808
300,143,20827
301,143,20846
302,143,20865
303,143,20995
304,143,21013
305,143,21031
306,143,21049
307,143,21067
308,143,21366
309,143,21385
310,143,21404
311,143,21729
312,143,21747
313,143,21766
314,143,21784
315,143,21801
316,143,21818
317,143,21835
318,143,21852
319,143,21869
320,143,21886
321,143,21903
322,143,21992
323,143,22025
324,143,22041
325,143,22073
326,143,22089
327,143,22105
328,143,22121
329,143,22137
330,143,22153
331,143,22169
332,143,22185
333,143,22201
334,148,15679
335,148,15698
336,148,15717
337,148,15791
338,148,15808
339,148,15825
340,148,15859
341,148,15875
342,155,4117
343,155,4201
344,155,4213
345,155,4225
346,155,5541
347,155,5556
348,155,5571
349,155,5586
350,155,5601
351,155,5616
352,155,5631
353,155,5646
354,155,5661
355,155,5676
356,155,24146
357,155,24266
358,159,15716
359,159,15754
360,159,15790
361,159,15807
362,159,15824
363,159,15841
364,159,15906
365,159,15922
366,159,20349
367,159,20405
368,159,20425
369,159,20445
370,159,20466
371,159,20487
372,159,20592
373,159,20613
374,159,20634
375,159,20654
376,159,20732
377,159,20770
378,159,20789
379,159,20808
380,159,20827
381,159,20865
382,159,20995
383,159,21013
384,159,21031
385,159,21049
386,159,21067
387,159,21236
388,159,21729
389,159,21747
390,159,21766
391,159,21784
392,159,21801
393,159,21818
394,159,21835
395,159,21852
396,159,21869
397,159,21886
398,159,21903
399,159,21957
400,159,21992
401,159,22025
402,159,22041
403,159,22105
404,159,22137
405,159,22153
406,159,22169
407,159,22185
408,159,22201
409,165,15679
410,165,15717
411,165,15791
412,165,15808
413,165,15825
414,165,15859
415,165,15875
416,172,4201
417,172,4213
418,172,4225
419,172,5646
420,172,24146
421,172,24266
422,176,15754
423,176,15790
424,176,15807
425,176,15824
426,176,15841
427,176,15858
428,176,15906
429,176,15922
430,176,15938
431,176,20349
432,176,20405
433,176,20425
434,176,20445
435,176,20466
436,176,20487
437,176,20592
438,176,20613
439,176,20634
440,176,20654
441,176,20732
442,176,20770
443,176,20808
444,176,21013
445,176,21049
446,176,21067
447,176,21801
448,176,21818
449,176,21835
450,176,21852
451,176,21869
452,176,21886
453,176,22025
454,176,22105
455,176,22169
456,176,22185
457,182,15679
458,182,15717
459,182,15791
460,182,15808
461,182,15825
462,182,15859
463,182,15875
464,189,4117
465,189,4189
466,189,4201
467,189,4213
468,189,4225
469,189,5541
470,189,5556
471,189,5571
472,189,5586
473,189,5601
474,189,5616
475,189,5631
476,189,5646
477,189,5661
478,189,5676
479,189,5691
480,189,5705
481,189,6580
482,189,6591
483,189,6602
484,189,6613
485,189,6624
486,189,6635
487,189,6646
488,189,6657
489,189,6668
490,189,6679
491,189,7338
492,189,7350
493,189,7362
494,189,7374
495,189,7386
496,189,7398
497,189,8542
498,189,23946
499,189,24146
500,189,24266
501,189,24366
502,189,24930
503,193,15754
504,193,15841
505,193,20349
506,193,20405
507,193,20425
508,193,20445
509,193,20592
510,193,20613
511,193,20634
512,193,20770
513,193,20808
514,193,22169
515,199,15679
516,199,15717
517,199,15791
518,199,15808
519,199,15825
520,199,15859
521,199,15875
522,206,4117
523,206,4189
524,206,4201
525,206,4213
526,206,4225
527,206,5541
528,206,5556
529,206,5571
530,206,5586
531,206,5601
532,206,5616
533,206,5631
534,206,5646
535,206,5661
536,206,5676
537,206,5691
538,206,5705
539,206,6580
540,206,6591
541,206,6602
542,206,6613
543,206,6624
544,206,6635
545,206,6646
546,206,6657
547,206,6668
548,206,6679
549,206,7338
550,206,7350
551,206,7362
552,206,7374
553,206,7386
554,206,7398
555,206,8542
556,206,24146
557,206,24930
558,210,20808
559,216,15679
560,216,15717
561,216,15791
562,216,15808
563,216,15825
564,216,15875
565,218,6247
566,218,6303
567,218,6408
568,218,6420
569,218,6432
570,218,6444
571,218,6456
572,218,6468
573,218,6480
574,218,6492
575,218,6550
576,223,4117
577,223,4189
578,223,4201
579,223,4213
580,223,4225
581,223,5541
582,223,5556
583,223,5571
584,223,5586
585,223,5601
586,223,5616
587,223,5631
588,223,5646
589,223,5661
590,223,5676
591,223,5691
592,223,5705
593,223,6580
594,223,6591
595,223,6602
596,223,6613
597,223,6624
598,223,6635
599,223,6646
600,223,6657
601,223,6668
602,223,6679
603,223,7338
604,223,7350
605,223,7362
606,223,7374
607,223,7386
608,223,7398
609,223,8542
610,223,24146
611,227,20808
612,233,15679
613,233,15717
614,233,15791
615,233,15808
616,233,15825
617,233,15859
618,233,15875
619,240,4117
620,240,4189
621,240,4201
622,240,4213
623,240,4225
624,240,5541
625,240,5556
626,240,5571
627,240,5586
628,240,5601
629,240,5616
630,240,5631
631,240,5646
632,240,5661
633,240,5676
634,240,5691
635,240,5705
636,240,6580
637,240,6591
638,240,6602
639,240,6613
640,240,6624
641,240,6635
642,240,6646
643,240,6657
644,240,6668
645,240,6679
646,240,7338
647,240,7350
648,240,7362
649,240,7374
650,240,7386
651,240,7398
652,240,8542
653,240,24146
654,244,15841
655,244,20808
656,250,15679
657,250,15698
658,250,15717
659,250,15791
660,250,15808
661,250,15825
662,250,15859
663,250,15875
664,250,15939
665,257,4189
666,257,4201
667,257,4213
668,257,4225
669,257,5541
670,257,5556
671,257,5571
672,257,5586
673,257,5601
674,257,5616
675,257,5631
676,257,5646
677,257,5661
678,257,5676
679,257,5691
680,257,5705
681,257,6580
682,257,6591
683,257,6602
684,257,6613
685,257,6624
686,257,6635
687,257,6646
688,257,6657
689,257,6668
690,257,6679
691,257,7338
692,257,7350
693,257,7362
694,257,7374
695,257,7386
696,257,7398
697,257,8542
698,257,24146
699,267,15679
700,267,15698
701,267,15717
702,267,15791
703,267,15808
704,267,15825
705,267,15859
706,267,15875
707,267,15939
708,273,4117
709,273,4189
710,273,4201
711,273,4213
712,273,4225
713,273,5541
714,273,5556
715,273,5571
716,273,5586
717,273,5601
718,273,5616
719,273,5631
720,273,5646
721,273,5661
722,273,5676
723,273,5691
724,273,5705
725,273,6580
726,273,6591
727,273,6602
728,273,6613
729,273,6624
730,273,6635
731,273,6646
732,273,6657
733,273,6668
734,273,6679
735,273,7338
736,273,7350
737,273,7362
738,273,7374
739,273,7386
740,273,7398
741,273,8542
742,273,24146
743,283,15679
744,283,15698
745,283,15717
746,283,15791
747,283,15808
748,283,15825
749,283,15859
750,283,15875
751,283,15939
752,289,4117
753,289,4189
754,289,4201
755,289,4213
756,289,4225
757,289,5541
